,date,averagePELYR,averagePETTM,middlePELYR,middlePETTM,close
0,2005-01-05,35.64,29.52,17.91,18.97,831.43
1,2005-01-06,35.85,29.88,17.95,18.88,822.5
2,2005-01-07,37.17,29.74,19.17,18.81,823.62
3,2005-01-10,35.27,29.81,17.98,18.73,832.99
4,2005-01-11,37.49,30.14,19.35,19.07,837.86
5,2005-01-12,35.66,30.27,18.27,19.26,837.24
6,2005-01-13,35.59,30.16,18.37,19.21,834.22
7,2005-01-14,35.44,30.09,18.26,19.07,829.04
8,2005-01-17,35.1,29.77,18.22,18.79,811.55
9,2005-01-18,34.01,28.95,17.96,18.34,817.31
10,2005-01-19,34.3,29.21,17.95,18.35,810.99
11,2005-01-20,33.68,28.89,17.8,17.95,805.08
12,2005-01-21,34.95,28.6,18.51,17.85,831.85
13,2005-01-24,35.82,29.26,19.09,18.8,842.41
14,2005-01-25,34.56,29.7,18.3,18.93,841.64
15,2005-01-26,36.32,29.66,19.29,18.8,834.67
16,2005-01-27,35.71,29.17,19.18,18.88,821.71
17,2005-01-28,33.22,28.59,17.93,18.53,820.69
18,2005-01-31,33.13,28.47,17.99,18.51,813.75
19,2005-02-01,32.42,27.81,17.97,18.41,817.87
20,2005-02-02,33.0,27.66,18.07,18.55,860.5
21,2005-02-03,29.22,29.3,18.45,19.3,848.49
22,2005-02-04,28.51,28.78,18.23,19.03,872.88
23,2005-02-16,29.26,29.45,18.83,19.72,875.46
24,2005-02-17,29.45,29.61,18.87,19.69,870.09
25,2005-02-18,29.72,29.89,18.76,19.63,856.21
26,2005-02-21,29.19,29.38,18.47,19.33,874.02
27,2005-02-22,29.63,29.87,18.93,19.78,887.07
28,2005-02-23,30.2,30.48,19.14,20.11,877.91
29,2005-02-24,29.97,30.32,19.09,19.87,877.35
30,2005-02-25,29.94,30.4,19.22,19.88,878.5
31,2005-02-28,31.96,30.39,19.39,19.89,868.89
32,2005-03-01,29.86,29.92,18.96,19.54,866.26
33,2005-03-02,29.74,29.84,18.82,19.5,855.88
34,2005-03-03,29.3,29.4,18.6,19.1,861.69
35,2005-03-04,29.43,29.59,18.79,19.25,859.49
36,2005-03-07,29.2,29.44,18.83,19.21,863.7
37,2005-03-08,29.34,29.67,19.1,19.48,876.34
38,2005-03-09,29.88,30.23,19.66,19.89,869.4
39,2005-03-10,29.74,30.11,19.77,19.9,851.53
40,2005-03-11,28.94,29.36,19.47,19.62,853.9
41,2005-03-14,29.04,29.58,19.47,19.7,857.61
42,2005-03-15,29.09,29.45,20.0,20.55,840.96
43,2005-03-16,30.55,29.0,20.1,19.99,832.82
44,2005-03-17,34.02,28.64,19.4,19.85,826.68
45,2005-03-18,35.13,28.37,19.85,19.75,821.03
46,2005-03-21,33.14,28.12,19.31,19.53,823.13
47,2005-03-22,32.91,27.97,18.71,19.23,808.1
48,2005-03-23,32.07,27.32,18.59,19.48,801.98
49,2005-03-24,31.89,27.09,18.65,19.32,808.18
50,2005-03-25,33.55,27.15,19.45,19.38,806.42
51,2005-03-28,32.08,27.02,18.86,19.37,805.56
52,2005-03-29,31.74,26.7,18.78,19.7,802.74
53,2005-03-30,31.51,26.24,18.65,19.61,790.58
54,2005-03-31,30.98,25.68,18.65,19.29,795.67
55,2005-04-01,31.39,25.01,19.06,18.91,822.91
56,2005-04-04,32.65,25.93,19.61,19.42,808.59
57,2005-04-05,31.96,25.11,18.97,18.91,801.88
58,2005-04-06,31.88,24.85,19.31,18.8,816.88
59,2005-04-07,31.82,25.2,19.4,19.38,824.61
60,2005-04-08,32.4,25.57,19.82,19.69,838.06
61,2005-04-11,33.06,23.75,20.52,20.08,830.91
62,2005-04-12,32.87,24.3,20.29,19.83,818.47
63,2005-04-13,32.24,23.75,20.03,19.65,835.63
64,2005-04-14,34.04,24.45,20.52,20.08,826.0
65,2005-04-15,32.7,24.05,20.12,19.7,817.09
66,2005-04-18,31.94,23.68,19.96,19.65,806.39
67,2005-04-19,31.56,22.52,19.84,19.59,809.36
68,2005-04-20,31.87,22.54,20.07,19.83,798.52
69,2005-04-21,30.97,22.42,19.81,19.5,793.45
70,2005-04-22,30.3,22.19,20.08,19.51,794.82
71,2005-04-25,30.28,22.15,20.02,19.63,790.75
72,2005-04-26,30.04,25.02,20.07,19.76,792.3
73,2005-04-27,30.28,28.15,20.11,19.85,782.43
74,2005-04-28,29.83,27.74,19.84,18.88,793.88
75,2005-04-29,30.35,28.59,20.02,19.12,789.73
76,2005-05-09,30.21,25.81,19.71,18.59,775.32
77,2005-05-10,29.65,25.38,19.21,19.04,779.1
78,2005-05-11,30.14,25.42,19.22,18.97,771.59
79,2005-05-12,29.89,25.16,18.97,18.88,753.88
80,2005-05-13,29.66,24.84,18.85,18.15,757.3
81,2005-05-16,29.72,25.13,19.1,18.23,747.87
82,2005-05-17,29.42,24.8,18.94,17.94,750.71
83,2005-05-18,29.65,25.02,18.79,18.17,752.66
84,2005-05-19,29.79,25.12,18.94,18.24,754.78
85,2005-05-20,30.0,25.14,19.05,18.42,753.07
86,2005-05-23,30.04,24.98,19.13,18.41,737.74
87,2005-05-24,29.5,24.52,18.76,18.25,737.35
88,2005-05-25,29.93,24.98,18.6,17.91,737.54
89,2005-05-26,29.73,24.92,18.78,18.0,728.7
90,2005-05-27,29.17,24.48,18.47,17.61,724.52
91,2005-05-30,28.82,24.25,18.13,17.28,729.07
92,2005-05-31,29.0,24.48,18.14,17.41,731.0
93,2005-06-01,28.8,24.25,18.17,17.49,719.02
94,2005-06-02,28.57,23.8,17.76,16.97,701.37
95,2005-06-03,28.03,23.35,17.07,16.46,700.43
96,2005-06-06,27.73,23.11,16.94,16.0,717.21
97,2005-06-07,28.04,23.49,17.15,16.25,713.62
98,2005-06-08,28.12,23.49,17.08,16.2,772.13
99,2005-06-09,30.32,25.38,18.55,17.58,778.58
100,2005-06-10,30.83,25.84,18.64,17.92,766.66
101,2005-06-13,30.2,25.44,18.74,17.81,759.92
102,2005-06-14,30.26,25.57,18.61,17.64,754.55
103,2005-06-15,29.84,25.26,18.51,17.34,745.22
104,2005-06-16,29.22,24.67,18.27,16.92,757.39
105,2005-06-17,29.46,24.9,18.67,17.44,762.18
106,2005-06-20,29.48,24.8,18.86,17.79,780.29
107,2005-06-21,30.22,25.45,19.21,18.6,770.29
108,2005-06-22,29.89,25.26,18.99,18.3,774.15
109,2005-06-23,29.94,25.39,19.19,18.59,768.33
110,2005-06-24,29.54,25.04,18.96,18.23,772.32
111,2005-06-27,29.52,25.12,19.06,18.52,782.38
112,2005-06-28,30.11,25.58,19.42,18.94,775.63
113,2005-06-29,29.62,25.27,19.3,18.75,772.02
114,2005-06-30,29.47,25.27,19.12,18.52,758.72
115,2005-07-01,28.9,24.74,18.76,17.86,748.05
116,2005-07-04,27.78,23.98,18.52,17.49,747.09
117,2005-07-05,27.01,23.7,18.59,17.6,741.21
118,2005-07-06,26.46,23.51,18.43,17.51,734.77
119,2005-07-07,25.99,23.08,18.41,17.21,735.55
120,2005-07-08,25.64,23.11,18.43,17.26,727.56
121,2005-07-11,25.2,22.64,18.08,17.02,726.9
122,2005-07-12,25.02,22.51,17.96,16.96,753.06
123,2005-07-13,26.2,23.46,18.47,17.03,748.55
124,2005-07-14,25.89,23.34,18.66,17.57,753.64
125,2005-07-15,26.06,23.47,18.7,17.51,748.52
126,2005-07-18,25.71,23.19,18.31,17.38,746.92
127,2005-07-19,25.6,22.97,18.21,17.29,747.49
128,2005-07-20,25.69,22.97,18.23,17.67,753.55
129,2005-07-21,25.87,23.11,18.52,17.72,756.98
130,2005-07-22,25.98,23.29,18.88,17.79,768.72
131,2005-07-25,26.54,23.72,19.27,18.15,764.65
132,2005-07-26,26.5,23.53,19.28,18.01,780.75
133,2005-07-27,27.2,24.11,19.77,18.61,792.49
134,2005-07-28,27.72,24.56,20.44,19.21,789.85
135,2005-07-29,27.45,24.45,20.14,19.12,788.63
136,2005-08-01,27.33,24.56,19.2,19.01,790.0
137,2005-08-02,27.4,24.68,19.3,19.3,797.35
138,2005-08-03,27.74,24.89,19.57,19.46,797.74
139,2005-08-04,27.88,25.13,19.93,19.75,795.14
140,2005-08-05,28.04,25.0,20.03,19.85,812.33
141,2005-08-08,28.57,25.47,20.41,20.29,812.72
142,2005-08-09,28.63,25.42,20.39,20.22,814.61
143,2005-08-10,28.78,25.6,20.06,19.97,822.16
144,2005-08-11,29.09,25.97,20.3,20.15,832.24
145,2005-08-12,29.25,26.22,20.52,20.71,822.33
146,2005-08-15,29.14,25.67,20.28,20.39,839.51
147,2005-08-16,29.07,25.69,20.09,20.35,828.23
148,2005-08-17,28.79,25.34,19.93,20.26,833.84
149,2005-08-18,29.0,25.58,20.04,20.27,814.29
150,2005-08-19,27.8,24.55,19.27,19.76,817.68
151,2005-08-22,27.71,24.47,19.42,19.49,823.08
152,2005-08-23,27.84,24.8,19.61,19.85,818.05
153,2005-08-24,27.51,24.51,19.59,19.9,825.45
154,2005-08-25,27.78,24.9,19.57,19.9,823.58
155,2005-08-26,27.84,25.19,19.49,19.78,822.2
156,2005-08-29,27.82,25.08,19.41,19.76,811.31
157,2005-08-30,27.22,24.33,19.32,19.58,809.06
158,2005-08-31,26.97,24.05,19.33,18.76,816.75
159,2005-09-01,27.59,24.31,19.58,18.9,827.9
160,2005-09-02,28.16,24.71,19.67,19.22,829.46
161,2005-09-05,28.41,24.89,19.9,19.78,829.34
162,2005-09-06,28.86,25.12,19.77,20.06,815.75
163,2005-09-07,28.04,24.44,19.43,19.6,825.12
164,2005-09-08,28.92,24.91,19.58,19.94,827.12
165,2005-09-09,28.8,24.88,19.66,20.02,823.64
166,2005-09-12,28.49,24.7,19.57,19.74,821.98
167,2005-09-13,28.55,24.75,19.51,19.9,829.92
168,2005-09-14,29.04,25.14,19.61,19.96,834.01
169,2005-09-15,29.16,25.36,19.62,20.01,833.51
170,2005-09-16,29.25,25.34,19.53,19.9,830.62
171,2005-09-19,29.15,25.2,19.46,19.83,831.57
172,2005-09-20,29.24,25.26,19.44,19.71,827.27
173,2005-09-21,29.0,25.11,19.39,19.79,811.13
174,2005-09-22,28.34,24.55,19.11,19.15,796.94
175,2005-09-23,27.73,24.07,18.84,18.78,793.16
176,2005-09-26,27.67,23.96,18.65,18.61,793.73
177,2005-09-27,27.42,24.15,18.7,18.65,782.24
178,2005-09-28,26.75,23.69,18.5,18.39,783.0
179,2005-09-29,26.75,23.63,18.66,18.38,792.25
180,2005-09-30,26.99,23.87,18.91,18.55,793.65
181,2005-10-10,26.99,23.91,18.81,18.51,787.75
182,2005-10-11,26.67,23.52,18.61,18.4,796.07
183,2005-10-12,27.14,23.91,18.8,18.74,795.32
184,2005-10-13,27.28,23.85,18.74,18.47,788.36
185,2005-10-14,26.98,23.63,18.53,18.09,777.49
186,2005-10-17,26.56,23.32,18.21,18.03,769.32
187,2005-10-18,26.39,23.02,18.14,17.94,771.45
188,2005-10-19,26.63,23.19,18.2,18.02,769.68
189,2005-10-20,26.69,23.17,18.11,17.96,773.68
190,2005-10-21,26.68,23.23,18.54,17.83,774.06
191,2005-10-24,26.91,23.48,18.37,17.98,771.15
192,2005-10-25,26.71,23.15,18.31,17.92,765.03
193,2005-10-26,26.09,22.86,17.98,17.86,749.13
194,2005-10-27,25.1,21.99,17.67,16.84,751.26
195,2005-10-28,25.03,20.83,17.77,15.98,749.96
196,2005-10-31,24.88,20.24,17.73,15.64,759.24
197,2005-11-01,24.62,20.46,18.15,15.43,757.05
198,2005-11-02,24.62,20.49,18.07,15.43,762.94
199,2005-11-03,24.96,20.82,18.13,15.5,755.78
200,2005-11-04,24.74,20.55,17.74,15.29,758.92
201,2005-11-07,24.84,20.68,17.73,15.32,754.2
202,2005-11-08,24.88,20.63,17.53,15.12,758.32
203,2005-11-09,25.1,20.76,17.7,15.13,756.17
204,2005-11-10,25.01,20.72,17.67,15.06,746.35
205,2005-11-11,24.44,20.27,17.42,14.76,746.45
206,2005-11-14,24.61,20.31,17.41,14.67,743.35
207,2005-11-15,24.62,20.24,17.36,14.52,739.23
208,2005-11-16,24.4,20.06,17.35,14.52,744.14
209,2005-11-17,24.51,20.16,17.51,14.66,743.8
210,2005-11-18,24.54,20.29,17.53,14.69,760.57
211,2005-11-21,25.21,20.74,17.97,15.14,758.55
212,2005-11-22,25.14,20.74,17.94,15.22,747.31
213,2005-11-23,24.66,20.34,17.67,14.97,754.16
214,2005-11-24,24.8,20.47,17.81,15.18,761.66
215,2005-11-25,25.07,20.66,18.02,15.3,766.68
216,2005-11-28,25.14,20.63,17.26,15.29,762.9
217,2005-11-29,25.07,20.56,17.04,15.11,755.29
218,2005-11-30,24.78,20.38,16.88,14.94,759.63
219,2005-12-01,24.87,20.45,17.06,15.04,758.94
220,2005-12-02,24.78,20.41,16.93,14.94,757.02
221,2005-12-05,24.62,20.36,16.99,14.98,751.35
222,2005-12-06,24.22,20.17,16.95,14.99,760.2
223,2005-12-07,24.4,20.34,17.2,15.17,767.54
224,2005-12-08,24.64,20.51,17.41,15.43,765.55
225,2005-12-09,24.51,20.36,17.62,15.71,777.03
226,2005-12-12,24.89,20.69,17.88,15.78,774.71
227,2005-12-13,24.89,20.77,17.81,15.71,773.59
228,2005-12-14,24.88,20.8,17.8,15.73,778.49
229,2005-12-15,25.17,20.98,18.23,16.16,778.23
230,2005-12-16,25.04,20.86,18.14,16.07,782.04
231,2005-12-19,25.15,20.93,18.18,16.01,781.8
232,2005-12-20,25.19,20.9,17.99,15.93,787.23
233,2005-12-21,25.3,20.85,18.02,16.03,783.98
234,2005-12-22,25.18,20.79,17.89,16.0,787.39
235,2005-12-23,25.19,20.87,18.01,16.2,791.44
236,2005-12-26,25.31,20.98,18.23,16.43,795.56
237,2005-12-27,25.46,21.08,18.23,16.52,792.15
